2015-08-28,54.369999,55.919998,54.220001,55.790001,1754200,55.790001
2015-08-27,54.130001,55.889999,54.02,54.740002,2529500,54.740002
2015-08-26,51.669998,52.970001,49.77,52.75,2325400,52.75
2015-08-25,51.790001,52.972,49.779999,49.810001,2656100,49.810001
2015-08-24,45.50,51.07,45.00,48.50,3967000,48.50
2015-08-21,51.830002,51.990002,49.860001,49.990002,3693800,49.990002
2015-08-20,54.610001,55.355,52.23,52.360001,2393700,52.360001
2015-08-19,55.900002,56.849998,55.009998,55.59,1819900,55.59
2015-08-18,57.599998,57.939999,55.849998,55.93,1585700,55.93
2015-08-17,57.709999,58.43,57.349998,58.279999,1251400,58.279999
2015-08-14,57.580002,58.68,56.310001,58.240002,2517100,58.240002
2015-08-13,57.23,59.68,55.84,58.32,3508200,58.32
2015-08-12,52.740002,57.599998,51.709999,56.959999,3350700,56.959999
2015-08-11,53.50,54.91,53.130001,53.860001,2309400,53.860001
2015-08-10,53.18,55.099998,53.169998,54.529999,2153000,54.529999
2015-08-07,51.540001,53.07,51.00,52.200001,1874100,52.200001
2015-08-06,54.73,54.830002,50.799999,51.830002,3198800,51.830002
2015-08-05,55.16,56.830002,54.25,54.830002,4186000,54.830002
2015-08-04,56.68,58.139999,54.369999,55.060001,5787100,55.060001
2015-08-03,57.52,58.610001,56.549999,57.52,3660200,57.52
2015-07-31,60.610001,60.790001,57.639999,57.950001,4389300,57.950001
2015-07-30,60.650002,62.348,57.099998,60.485001,10331400,60.485001
2015-07-29,70.330002,70.849998,68.940002,70.470001,2562700,70.470001
2015-07-28,70.50,71.084,68.50,70.75,1371700,70.75
2015-07-27,71.449997,71.449997,69.010002,69.940002,1926400,69.940002
2015-07-24,76.510002,77.169998,72.199997,72.279999,1951500,72.279999
2015-07-23,74.709999,77.220001,74.440002,75.239998,1777400,75.239998
2015-07-22,72.550003,74.879997,71.010002,74.169998,3345600,74.169998
2015-07-21,76.220001,77.949997,75.410004,77.449997,1692300,77.449997
2015-07-20,78.50,79.580002,76.50,76.699997,2117600,76.699997
2015-07-17,80.139999,80.790001,78.099998,78.860001,1327600,78.860001
2015-07-16,78.07,80.519997,77.699997,80.239998,1501000,80.239998
2015-07-15,78.599998,79.099998,77.427002,77.879997,1050700,77.879997
2015-07-14,77.139999,78.519997,76.93,77.959999,1047500,77.959999
2015-07-13,77.169998,78.209999,75.239998,76.610001,1397400,76.610001
2015-07-10,75.220001,76.50,73.709999,76.160004,2365800,76.160004
2015-07-09,76.300003,77.269997,74.330002,74.629997,2010600,74.629997
2015-07-08,77.43,77.449997,74.481003,74.68,3271800,74.68
2015-07-07,80.290001,80.43,74.360001,79.949997,3085800,79.949997
2015-07-06,80.330002,81.934998,78.589996,79.989998,2121600,79.989998
2015-07-02,80.720001,81.550003,80.199997,81.360001,1151400,81.360001
2015-07-01,81.25,82.25,80.010002,80.360001,1639100,80.360001
2015-06-30,80.00,81.00,78.577003,80.269997,1957800,80.269997
2015-06-29,78.75,81.690002,77.830002,79.059998,2892500,79.059998
2015-06-26,84.849998,85.00,79.660004,80.410004,20596300,80.410004
2015-06-25,84.75,85.860001,84.75,84.980003,1391300,84.980003
2015-06-24,85.129997,85.879997,84.559998,84.589996,1488600,84.589996
2015-06-23,87.900002,87.959999,84.849998,85.309998,2469400,85.309998
2015-06-22,86.269997,88.349998,85.860001,87.809998,2663900,87.809998
2015-06-19,84.889999,86.279999,84.330002,85.25,2833100,85.25
2015-06-18,84.629997,85.459999,83.623001,84.650002,2013000,84.650002
2015-06-17,84.809998,85.07,83.089996,84.559998,1893600,84.559998
2015-06-16,82.220001,84.989998,82.110001,84.75,2476500,84.75
2015-06-15,82.510002,82.989998,82.050003,82.18,2640800,82.18
2015-06-12,81.989998,83.699997,81.75,83.510002,2641000,83.510002
2015-06-11,82.489998,83.00,81.651001,82.00,28866300,82.00
2015-06-10,81.375,82.739998,80.290001,82.50,6108700,82.50
2015-06-09,80.510002,81.00,77.599998,80.050003,2807700,80.050003
2015-06-08,83.419998,83.768997,79.75,80.239998,2180100,80.239998
2015-06-05,81.059998,83.849998,80.120003,83.699997,1801100,83.699997
2015-06-04,80.68,82.099998,80.080002,81.32,1203800,81.32
2015-06-03,81.349998,81.906998,80.900002,81.550003,2263400,81.550003
2015-06-02,80.589996,80.959999,79.00,80.860001,1703800,80.860001
2015-06-01,82.50,83.362999,80.089996,80.940002,2210400,80.940002
2015-05-29,82.870003,84.330002,82.029999,82.150002,2769600,82.150002
2015-05-28,86.209999,86.330002,82.059998,82.300003,2310500,82.300003
